daily date,Date,DNFTSE,DPredicted,daily predicted price
2019-07-31,2019-07-31,0.0542299503,0.03993001438,0.03993001438
2019-08-01,2019-08-01,0.01612326349,0.039036712009666664,0.0386538681366666
2019-08-02,2019-08-02,0.1908307452,0.03814340963933333,0.0373777218933333
2019-08-03,,0.1909471269,0.037250107268999993,0.036952339812222165
2019-08-04,,0.1910635086,0.03635680489866666,0.03652695773111103
2019-08-05,2019-08-05,0.1911798903,0.03546350252833333,0.0361015756499999
2019-08-06,2019-08-06,0.01261909917,0.034570200158,0.0348254294066666
2019-08-07,2019-08-07,-0.04747003296,0.033676897787666665,0.0335492831633333
2019-08-08,2019-08-08,-0.09844423025,0.03278359541733333,0.03227313692
2019-08-09,2019-08-09,0.02273354725,0.031890293047,0.0309969906766666
2019-08-10,,0.0450661156,0.030996990676666662,0.0305716085955555
2019-08-11,,0.06739868395,0.03010368830633333,0.0301462265144444
2019-08-12,2019-08-12,0.0897312523,0.029210385935999998,0.0297208444333333
2019-08-13,2019-08-13,-0.04766954441,0.028317083565666666,0.02844469819
2019-08-14,2019-08-14,0.138753367,0.02742378119533333,0.0271685519466666
2019-08-15,2019-08-15,0.04526660504,0.026530478825,0.0258924057033333
2019-08-16,2019-08-16,-0.09073369953,0.025637176454666663,0.0246162594599999
2019-08-17,,-0.10657334382,0.02474387408433333,0.024190877378888802
2019-08-18,,-0.12241298811,0.023850571714,0.0237654952977777
2019-08-19,2019-08-19,-0.1382526324,0.022957269343666663,0.0233401132166666
2019-08-20,2019-08-20,0.04501623773,0.02206396697333333,0.0220639669733333
2019-08-21,2019-08-21,-0.09999728996,0.021170664603,0.0207878207299999
2019-08-22,2019-08-22,0.001251836544,0.020277362232666664,0.0195116744866666
2019-08-23,2019-08-23,-0.01542203943,0.019384059862333332,0.0182355282433333
2019-08-24,,-0.024059956085,0.018490757492,0.017916491682499973
2019-08-25,,-0.032697872739999995,0.017597455121666664,0.017597455121666647
2019-08-26,,-0.041335789394999996,0.016704152751333332,0.017278418560833324
2019-08-27,2019-08-27,-0.04997370605,0.015810850381,0.016959382
2019-08-28,2019-08-28,0.0665478263,0.014917548010666665,0.0156832357566666
2019-08-29,2019-08-29,-0.04481574829,0.014024245640333333,0.0144070895133333
2019-08-30,2019-08-30,-0.05062407425,0.01313094327,0.01313094327
2019-08-31,,-0.04843759828666667,0.011354733924193549,0.012256935496666668
2019-09-01,,-0.04625112232333333,0.009578524578387097,0.011382927723333333
2019-09-02,2019-09-02,-0.04406464636,0.0078023152325806455,0.01050891995
2019-09-03,2019-09-03,0.008762855811,0.0060261058867741935,0.00788689663
2019-09-04,2019-09-04,-0.07761386575,0.004249896540967742,0.0052648733099999
2019-09-05,2019-09-05,-0.01527240584,0.0024736871951612904,0.0026428499899999
2019-09-06,2019-09-06,-0.02799126073,0.0006974778493548384,2.082666999999976e-05
2019-09-07,,-0.014154228926666667,-0.0010787314964516136,-0.0008531811033333335
2019-09-08,,-0.00031719712333333483,-0.0028549408422580656,-0.0017271888766666667
2019-09-09,2019-09-09,0.01351983468,-0.004631150188064516,-0.00260119665
2019-09-10,2019-09-10,-0.03024456651,-0.00640735953387097,-0.00522321997
2019-09-11,2019-09-11,-0.1218281457,-0.00818356887967742,-0.00784524329
2019-09-12,2019-09-12,0.009814202908,-0.009959778225483874,-0.01046726661
2019-09-13,2019-09-13,-0.1167718997,-0.011735987571290324,-0.01308928993
2019-09-14,,-0.05523141956666667,-0.013512196917096778,-0.013963297703333334
2019-09-15,,0.006309060566666663,-0.015288406262903228,-0.014837305476666666
2019-09-16,2019-09-16,0.0678495407,-0.017064615608709678,-0.01571131325
2019-09-17,2019-09-17,0.00991493663,-0.018840824954516132,-0.01833333657
2019-09-18,2019-09-18,-0.006960406786,-0.020617034300322586,-0.02095535989
2019-09-19,2019-09-19,-0.01757558948,-0.022393243646129032,-0.02357738321
2019-09-20,2019-09-20,-0.04000889156,-0.024169452991935486,-0.02619940653
2019-09-21,,-0.005708570243333336,-0.02594566233774194,-0.027073414303333335
2019-09-22,,0.02859175107333333,-0.027721871683548394,-0.027947422076666666
2019-09-23,2019-09-23,0.06289207239,-0.02949808102935484,-0.02882142985
2019-09-24,2019-09-24,0.06244219363,-0.031274290375161294,-0.03144345317
2019-09-25,2019-09-25,0.07220554068,-0.03305049972096775,-0.03406547649
2019-09-26,2019-09-26,-0.0218817116,-0.034826709066774195,-0.03668749981
2019-09-27,2019-09-27,-0.07631215134,-0.03660291841258065,-0.03930952313
2019-09-28,,-0.045149571363333335,-0.0383791277583871,-0.040183530903333334
2019-09-29,,-0.013986991386666668,-0.040155337104193556,-0.04105753867666667
2019-09-30,2019-09-30,0.01717558859,-0.04193154645,-0.04193154645
2019-10-01,2019-10-01,0.03199615968,-0.03925859509580645,-0.0383288728856521
2019-10-02,2019-10-02,0.1982410308,-0.036585643741612904,-0.0347261993213043
2019-10-03,2019-10-03,0.0644451321,-0.033912692387419355,-0.0311235257569565
2019-10-04,2019-10-04,-0.06619770326,-0.03123974103322581,-0.0275208521926086
2019-10-05,,-0.03408353191,-0.02856678967903226,-0.026319961004492666
2019-10-06,,-0.001969360559999994,-0.025893838324838714,-0.025119069816376734
2019-10-07,2019-10-07,0.03014481079,-0.023220886970645165,-0.0239181786282608
2019-10-08,2019-10-08,0.1098105149,-0.020547935616451615,-0.020315505063913
2019-10-09,2019-10-09,0.0146719155,-0.017874984262258066,-0.0167128314995652
2019-10-10,2019-10-10,-0.0320968934,-0.015202032908064517,-0.0131101579352173
