Time Series Search Export,Search term,Search filters,,Last update of Effective exchange rates data,Downloaded at,Source,Source URL,Download URL,About Effective exchange rates
,,,,2024-07-18,2024-07-22 16:49 CEST,BIS,https:/data.bis.org/topics/EER/BIS%2CWS_EER%2C1.0/M.R.N.GB?view=chart,https:/data.bis.org/topics/EER/BIS%2CWS_EER%2C1.0/M.R.N.GB?view=chart&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel,https://data.bis.org/topics/EER

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,EER_TYPE:Type,EER_BASKET:Basket,REF_AREA:Reference area,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_EER,1.0",M.R.N.GB,M:Monthly,R:Real,N:Narrow (27 economies),GB:United Kingdom,"Index, 2020 = 100",,1966-06-30,F:Free,,A:Normal value,161.04
"BIS,WS_EER,1.0",M.R.N.GB,M:Monthly,R:Real,N:Narrow (27 economies),GB:United Kingdom,"Index, 2020 = 100",,1966-07-31,F:Free,,A:Normal value,160.57
"BIS,WS_EER,1.0",M.R.N.GB,M:Monthly,R:Real,N:Narrow (27 economies),GB:United Kingdom,"Index, 2020 = 100",,1966-08-31,F:Free,,A:Normal value,162.03
"BIS,WS_EER,1.0",M.R.N.GB,M:Monthly,R:Real,N:Narrow (27 economies),GB:United Kingdom,"Index, 2020 = 100",,1966-09-30,F:Free,,A:Normal value,161.79
"BIS,WS_EER,1.0",M.R.N.GB,M:Monthly,R:Real,N:Narrow (27 economies),GB:United Kingdom,"Index, 2020 = 100",,1966-10-31,F:Free,,A:Normal value,161.36
"BIS,WS_EER,1.0",M.R.N.GB,M:Monthly,R:Real,N:Narrow (27 economies),GB:United Kingdom,"Index, 2020 = 100",,1966-11-30,F:Free,,A:Normal value,162.25
"BIS,WS_EER,1.0",M.R.N.GB,M:Monthly,R:Real,N:Narrow (27 economies),GB:United Kingdom,"Index, 2020 = 100",,1966-12-31,F:Free,,A:Normal value,161.77
"BIS,WS_EER,1.0",M.R.N.GB,M:Monthly,R:Real,N:Narrow (27 economies),GB:United Kingdom,"Index, 2020 = 100",,1967-01-31,F:Free,,A:Normal value,161.09
"BIS,WS_EER,1.0",M.R.N.GB,M:Monthly,R:Real,N:Narrow (27 economies),GB:United Kingdom,"Index, 2020 = 100",,1967-02-28,F:Free,,A:Normal value,159.25
"BIS,WS_EER,1.0",M.R.N.GB,M:Monthly,R:Real,N:Narrow (27 economies),GB:United Kingdom,"Index, 2020 = 100",,1967-03-31,F:Free,,A:Normal value,160.49
