Date,Real,Predicted
2019-07-31,0.03321286002083146,0.03993001438336851
2019-08-31,-0.04434339285560118,0.013130943274676994
2019-09-30,0.08824806397902885,-0.04193154645365668
2019-10-31,0.013779112180853703,0.040929945534324295
2019-11-30,0.12854546752680784,-0.0004583326218336268
2019-12-31,0.17399378918936503,-0.002296100534441148
2020-01-31,-0.12022600356855717,0.024553740891030837
2020-02-29,-0.29452852286574704,-0.14507143189203173
2020-03-31,-0.6872982158322509,0.004193569385054068
2020-04-30,0.21991333049018114,0.0193190792102403
2020-05-31,0.09562508866075925,-0.01487691117779502
2020-06-30,0.012381702219116275,0.028694171656574723
2020-07-31,-0.030304297426052007,0.0047806793668313755
2020-08-31,0.1390260422398394,0.0038937177242266688
2020-09-30,-0.07685754789556354,0.08013524660154135
2020-10-31,-0.01639519362085018,0.08048767700810652
2020-11-30,0.3447865346291672,0.0829093495137366
2020-12-31,0.18718793906065367,0.0210813013213228
2021-01-31,-0.04219853105386462,0.0541643644710777
2021-02-28,0.1107853618503074,0.034912965672307124
2021-03-31,0.09884238136336432,0.039311554723610656
2021-04-30,0.15902850343633834,0.04909212246736211
2021-05-31,0.030320546379095203,-0.01119035617344375
2021-06-30,-0.05004677537385538,0.010217491910155672
2021-07-31,0.09307400303293623,0.08830307501601833
2021-08-31,0.18741542440326242,-0.0005572485143851124
2021-09-30,-0.17401003814240834,0.025554733069957133
2021-10-31,0.012235461641724843,0.031084018233894964
2021-11-30,-0.09536510541206367,0.032994628150919386
2021-12-31,0.15616868770068937,0.01739910938328276
2022-01-31,-0.2525412282014481,0.006869832087217937
2022-02-28,-0.13738489798245013,0.0036830344660625427
2022-03-31,0.01283667290433299,0.021317067434441426
2022-04-30,-0.07334777403817605,-0.03376914805808628
2022-05-31,-0.04723570649733677,0.02009232342268434
2022-06-30,-0.28455166569706325,-0.0010425410720294043
2022-07-31,0.2424831262675462,0.03573897186115157
2022-08-31,-0.177974782685012,-0.0588874368030151
2022-09-30,-0.30799890493877524,0.018674386768340864
2022-10-31,0.11725244516160438,0.0018614508182315283
2022-11-30,0.20691416805541318,-0.006439755840119507
2022-12-31,-0.05042050129385478,0.0029232139130720564
2023-01-31,0.16257077519981245,-0.009890552246342216
2023-02-28,0.008091978615642592,0.006794826058477507
2023-03-31,-0.1584272921737302,0.00696436316197955
2023-04-30,0.08072479871990668,0.026626349189724854
2023-05-31,-0.1141001482711721,0.005457754989446964
2023-06-30,-0.049738045266030095,-0.012290197962413799
2023-07-31,0.11812988862595075,-0.005342367451603535
2023-08-31,-0.08743561632685548,-0.0008245571824654265
2023-09-30,-0.05302033378080817,0.04132841096602467
2023-10-31,-0.1943862252589068,0.013964476174217387
2023-11-30,0.18692795581195853,0.013335857103601155
2023-12-31,0.23660100526581385,0.17248388679572316
2024-01-31,-0.05388152829211146,-0.01345523338038697
2024-02-29,-0.049250576674725544,0.02040656171485652
2024-03-31,0.13483381235462688,0.025575349089372437
2024-04-30,0.013111280210767351,0.0889268234426574
